SID,ACN,FUMA
0,0,0
1,3,1
2,1,2
3,2,3
4,8,7
5,4,8
6,7,5
7,5,6
8,6,4
9,15,14
10,9,15
11,14,12
12,10,13
13,13,10
14,11,11
15,12,9
16,24,23
17,16,24
18,23,21
19,17,22
20,22,19
21,18,20
22,21,17
23,19,18
24,20,16
25,35,34
26,25,35
27,34,32
28,26,33
29,33,30
30,27,31
31,32,28
32,28,29
33,31,26
34,29,27
35,30,25
36,48,47
37,36,48
38,47,45
39,37,46
40,46,43
41,38,44
42,45,41
43,39,42
44,44,39
45,40,40
46,43,37
47,41,38
48,42,36
49,63,62
50,49,63
51,62,60
52,50,61
53,61,58
54,51,59
55,60,56
56,52,57
57,59,54
58,53,55
59,58,52
60,54,53
61,57,50
62,55,51
63,56,49
64,80,79
65,64,80
66,79,77
67,65,78
68,78,75
69,66,76
70,77,73
71,67,74
72,76,71
73,68,72
74,75,69
75,69,70
76,74,67
77,70,68
78,73,65
79,71,66
80,72,64
81,99,98
82,81,99
83,98,96
84,82,97
85,97,94
86,83,95
87,96,92
88,84,93
89,95,90
90,85,91
91,94,88
92,86,89
93,93,86
94,87,87
95,92,84
96,88,85
97,91,82
98,89,83
99,90,81
100,120,119
101,100,120
102,119,117
103,101,118
104,118,115
105,102,116
106,117,113
107,103,114
108,116,111
109,104,112
110,115,109
111,105,110
112,114,107
113,106,108
114,113,105
115,107,106
116,112,103
117,108,104
118,111,101
119,109,102
120,110,100
